"序号","分类","资料标题","难度","语言","来源 URL","授权状态","本地状态","本地路径","文件大小 KB","SHA-256","访问日期","说明"
"1","经典论文","Distinctive Image Features from Scale-Invariant Keypoints","进阶","英文","https://www.cs.ubc.ca/~lowe/papers/ijcv04.pdf","作者公开页面；学习引用","在线索引","","","","2026-07-26","SIFT 经典完整论文；网络可用时用下载脚本离线保存"
"2","经典论文","SURF: Speeded Up Robust Features","进阶","英文","https://people.ee.ethz.ch/~surf/eccv06.pdf","作者/机构公开页面；学习引用","在线索引","","","","2026-07-26","ECCV 2006 SURF 经典论文；网络可用时用下载脚本离线保存"
"3","现代方法","SuperPoint: Self-Supervised Interest Point Detection and Description","进阶","英文","https://arxiv.org/pdf/1712.07629","arXiv 公开论文；学习引用","在线索引","","","","2026-07-26","用于理解经典方法与学习型局部特征的衔接；网络可用时离线保存"
"4","官方教程","OpenCV Introduction to SIFT","入门","英文","https://docs.opencv.org/4.x/da/df5/tutorial_py_sift_intro.html","OpenCV 官方文档","在线索引","","","","2026-07-26","SIFT Python 教程；网络可用时用下载脚本离线保存"
"5","官方教程","OpenCV Introduction to SURF","入门","英文","https://docs.opencv.org/4.x/df/dd2/tutorial_py_surf_intro.html","OpenCV 官方文档","在线索引","","","","2026-07-26","接口存在不代表当前 OpenCV 构建启用了 SURF"
"6","官方教程","OpenCV Feature Matching","熟练","英文","https://docs.opencv.org/4.x/dc/dc3/tutorial_py_matcher.html","OpenCV 官方文档","在线索引","","","","2026-07-26","BFMatcher、FLANN 与 Lowe 比率测试"
"7","官方教程","OpenCV Feature Matching + Homography","熟练","英文","https://docs.opencv.org/4.x/d1/de0/tutorial_py_feature_homography.html","OpenCV 官方文档","在线索引","","","","2026-07-26","从局部匹配到平面目标定位"
"8","示例数据","OpenCV box.png","入门","无","https://raw.githubusercontent.com/opencv/opencv/4.x/samples/data/box.png","OpenCV 项目样例；查看项目许可证","在线索引","","","","2026-07-26","OpenCV 官方平面目标图；网络可用时用下载脚本保存"
"9","示例数据","OpenCV box_in_scene.png","入门","无","https://raw.githubusercontent.com/opencv/opencv/4.x/samples/data/box_in_scene.png","OpenCV 项目样例；查看项目许可证","在线索引","","","","2026-07-26","OpenCV 官方场景图；网络可用时用下载脚本保存"
"10","示例数据","OpenCV graf1.png","熟练","无","https://raw.githubusercontent.com/opencv/opencv/4.x/samples/data/graf1.png","OpenCV 项目样例；查看项目许可证","在线索引","","","","2026-07-26","OpenCV 官方视角变化样例 A；网络可用时保存"
"11","示例数据","OpenCV graf3.png","熟练","无","https://raw.githubusercontent.com/opencv/opencv/4.x/samples/data/graf3.png","OpenCV 项目样例；查看项目许可证","在线索引","","","","2026-07-26","OpenCV 官方视角变化样例 B；网络可用时保存"
"12","本地样例","可复现的合成目标与场景图","入门","无","","本学习包原创生成","已离线","09_样例与数据集/opencv_samples/synthetic_object.png","40","7d3663c6f8b7da139e29af8be70e23e1ce46008cff5bf790efa829ef46147ff0","2026-07-26","目标图；由 scripts/generate_samples.py 固定随机种子生成"
"13","本地样例","可复现的合成目标场景图","入门","无","","本学习包原创生成","已离线","09_样例与数据集/opencv_samples/synthetic_scene.png","185.7","572b3ed7a9925d910309296133d5870c9ffc176ffb4fb31d9d5c86900df74e98","2026-07-26","透视变换场景图；由 scripts/generate_samples.py 固定随机种子生成"
"14","本地样例","可复现的合成全景图像对","熟练","无","","本学习包原创生成","已离线","09_样例与数据集/opencv_samples/synthetic_panorama_a.png","87.6","9cbb052f1552ac736288fc991ac3f14ee27918aea1e6ebd11414411a846f0767","2026-07-26","全景图像 A；由 scripts/generate_samples.py 固定随机种子生成"
"15","本地样例","可复现的合成全景图像 B","熟练","无","","本学习包原创生成","已离线","09_样例与数据集/opencv_samples/synthetic_panorama_b.png","90.6","fd8101049b3735e8c934c25dd38d36b74f0fadfc5d7afff0fda456c9d7234671","2026-07-26","全景图像 B；由 scripts/generate_samples.py 固定随机种子生成"
"16","源码","OpenCV source repository","进阶","英文","https://github.com/opencv/opencv/tree/4.12.0","Apache-2.0","在线索引","","","","2026-07-26","主模块与 SIFT 实现；在线索引"
"17","源码","opencv_contrib source repository","进阶","英文","https://github.com/opencv/opencv_contrib/tree/4.12.0","Apache-2.0；具体算法另行核查","在线索引","","","","2026-07-26","xfeatures2d 与 SURF 源码；在线索引"
"18","扩展教程","VLFeat SIFT overview","熟练","英文","https://www.vlfeat.org/overview/sift.html","在线公开文档","在线索引","","","","2026-07-26","另一种成熟 SIFT 实现与说明"
"19","数据集","Oxford Affine Covariant Features dataset","进阶","英文","https://www.robots.ox.ac.uk/~vgg/research/affine/","使用前查看数据集页面条款","在线索引","","","","2026-07-26","经典局部特征评测数据；按需下载"
"20","数据集","HPatches dataset","进阶","英文","https://github.com/hpatches/hpatches-dataset","使用前查看仓库许可证","在线索引","","","","2026-07-26","局部描述子评测；按需下载"
"21","原创导读","SIFT 与 SURF 经典论文精读指南","熟练","中文","","本学习包原创","已离线","07_论文与扩展资料/经典论文/论文精读指南.pdf","249.9","f1a1b5bd9fa58c265fb2271ca60412b47569b0da1d6e3e48497cb8820e689953","2026-07-26","6 页中文离线阅读地图，含原文权威入口"
